id,name
employee_conf_seminar_cebueducationaltourid,CEBU EDUCATIONAL TOUR
employee_conf_seminar_cebueducationaltourid,CEBU EDUCATIONAL TOUR
employee_conf_seminar_centralbanking&monetarypolicyid,CENTRAL BANKING & MONETARY POLICY
employee_conf_seminar_cfc-sfcchristianlifeprogramid,CFC-SFC CHRISTIAN LIFE PROGRAM
employee_conf_seminar_changetowardseffective&adaptiveoranizationid,CHANGE TOWARDS EFFECTIVE & ADAPTIVE ORANIZATION
employee_conf_seminar_citizenadvancementtrainingid,CITIZEN ADVANCEMENT TRAINING
employee_conf_seminar_civicwelfaretrainingservicesid,CIVIC WELFARE TRAINING SERVICES
employee_conf_seminar_civilsecuritygroupid,CIVIL SECURITY GROUP
employee_conf_seminar_civilwelfaretrainingserviceid,CIVIL WELFARE TRAINING SERVICE
employee_conf_seminar_classspeechcontest2008(english123)id,CLASS SPEECH CONTEST 2008 (ENGLISH 123)
employee_conf_seminar_clinicalassessment&counselingid,CLINICAL ASSESSMENT & COUNSELING
"employee_conf_seminar_clinical,assessment&counselingtrainingid","CLINICAL, ASSESSMENT & COUNSELING TRAINING"
employee_conf_seminar_codeofethicsid,CODE OF ETHICS
employee_conf_seminar_comeppregionalconferenceid,COM EPP REGIONAL CONFERENCE
employee_conf_seminar_comprehensivelookatvatasammendedid,COMPREHENSIVE LOOK AT VAT AS AMMENDED
employee_conf_seminar_comprehensiverealestateappraisalpropertyid,COMPREHENSIVE REAL ESTATE APPRAISAL PROPERTY
employee_conf_seminar_comprehensiverealestateseminarid,COMPREHENSIVE REAL ESTATE SEMINAR
employee_conf_seminar_comprehensiverealestateseminarforbrokersid,COMPREHENSIVE REAL ESTATE SEMINAR FOR BROKERS
employee_conf_seminar_computerhardwareservicingid,COMPUTER HARDWARE SERVICING
employee_conf_seminar_computerhardwareservicingid,COMPUTER HARDWARE SERVICING
employee_conf_seminar_concretetheoryandpracticeid,CONCRETE THEORY AND PRACTICE
employee_conf_seminar_conflictmanagementid,CONFLICT MANAGEMENT
employee_conf_seminar_conflictmanagementid,CONFLICT MANAGEMENT
employee_conf_seminar_constructionprojectmanagementid,CONSTRUCTION PROJECT MANAGEMENT
employee_conf_seminar_consultationdialogueforgraduatingstudentsid,CONSULTATION DIALOGUE FOR GRADUATING STUDENTS
employee_conf_seminar_consumerdistributionstrategyid,CONSUMER DISTRIBUTION STRATEGY
employee_conf_seminar_consumerwelfaredeskid,CONSUMER WELFARE DESK
employee_conf_seminar_consumerwelfaredeskid,CONSUMER WELFARE DESK
employee_conf_seminar_consumerwelfaredeskid,CONSUMER WELFARE DESK
employee_conf_seminar_consumerwelfaredeskseminarid,CONSUMER WELFARE DESK SEMINAR
employee_conf_seminar_consumerwelfaredeskseminarid,CONSUMER WELFARE DESK SEMINAR
employee_conf_seminar_contactcenterservicesid,CONTACT CENTER SERVICES
employee_conf_seminar_contactcenterservicestrainingid,CONTACT CENTER SERVICES TRAINING
employee_conf_seminar_controlandautomationid,CONTROL AND AUTOMATION
employee_conf_seminar_cooperativeexternalauditorsid,COOPERATIVE EXTERNAL AUDITORS
employee_conf_seminar_cooperativeorientationid,COOPERATIVE ORIENTATION
employee_conf_seminar_cooperativepre-membershipeducationseminarid,COOPERATIVE PRE-MEMBERSHIP EDUCATION SEMINAR
employee_conf_seminar_cooperativesummitid,COOPERATIVE SUMMIT
employee_conf_seminar_coreldrawx3&abobephotoshopid,COREL DRAW X3 & ABOBE PHOTOSHOP
employee_conf_seminar_costumerservicecourseid,COSTUMER SERVICE COURSE
employee_conf_seminar_counselingtheheartofoneaccordworkplaceid,COUNSELING THE HEART OF ONE ACCORD WORKPLACE
employee_conf_seminar_counseling:theheartofoneaccordworkplaceid,COUNSELING: THE HEART OF ONE ACCORD WORKPLACE
employee_conf_seminar_counsellingtheheartofoneaccordworkplaceid,COUNSELLING THE HEART OF ONE ACCORD WORKPLACE
employee_conf_seminar_countryfinancialinstitutionsenhancementprogramid,COUNTRY FINANCIAL INSTITUTIONS ENHANCEMENT PROGRAM
employee_conf_seminar_courseonbasicaccountingid,COURSE ON BASIC ACCOUNTING
employee_conf_seminar_courseonserviceplusid,COURSE ON SERVICE PLUS
employee_conf_seminar_creativesellingandproductorientationid,CREATIVE SELLING AND PRODUCT ORIENTATION
employee_conf_seminar_creditandcollectionid,CREDIT AND COLLECTION
