"id","request_type_id:id","request_source_id:id"
"approval_rule_v6_payment_brdc head office __perpetual care fund_mother account","request_type_v6_perpetual care fund","request_source_v6_mother account"
"approval_rule_v6_payment_brdc head office __statutory expenses_mother account","request_type_v6_statutory expenses","request_source_v6_mother account"
"approval_rule_v6_payment_brdc head office __separation pay_mother account","request_type_v6_separation pay","request_source_v6_mother account"
"approval_rule_v6_payment_brdc head office __agent's commissions_revolving fund","request_type_v6_agent's commissions","request_source_v6_revolving fund"
"approval_rule_v6_payment_brdc head office __managerial fee_mother account","request_type_v6_managerial fee","request_source_v6_mother account"
"approval_rule_v6_payment_brdc head office __salaries and wages_mother account","request_type_v6_salaries and wages","request_source_v6_mother account"
"approval_rule_v6_payment_brdc head office __payables_mother account","request_type_v6_payables","request_source_v6_mother account"
"approval_rule_v6_payment_brdc head office __revolving fund replenishment_mother account","request_type_v6_revolving fund replenishment","request_source_v6_mother account"
"approval_rule_v6_payment_brdc head office __utility bills_mother account","request_type_v6_utility bills","request_source_v6_mother account"
"approval_rule_v6_payment_brdc head office __fund transfer_mother account","request_type_v6_fund transfer","request_source_v6_mother account"
"approval_rule_v6_payment_brdc head office __rentals_mother account","request_type_v6_rentals","request_source_v6_mother account"
"approval_rule_v6_payment_brdc head office __retainer's fee_mother account","request_type_v6_retainer's fee","request_source_v6_mother account"
"approval_rule_v6_payment_head office__retainer's fee_bu main","request_type_v6_retainer's fee","request_source_v6_bu main"
"approval_rule_v6_payment_head office__employee's incentives_bu main","request_type_v6_employee's incentives","request_source_v6_bu main"
"approval_rule_v6_payment_head office__utility bills_bu main","request_type_v6_utility bills","request_source_v6_bu main"
"approval_rule_v6_payment_head office__managerial fee_bu main","request_type_v6_managerial fee","request_source_v6_bu main"
"approval_rule_v6_payment_head office__salaries and wages_bu main","request_type_v6_salaries and wages","request_source_v6_bu main"
"approval_rule_v6_payment_head office__fund transfer_bu main","request_type_v6_fund transfer","request_source_v6_bu main"
"approval_rule_v6_payment_head office__statutory expenses_bu main","request_type_v6_statutory expenses","request_source_v6_bu main"
"approval_rule_v6_payment_head office__separation pay_bu main","request_type_v6_separation pay","request_source_v6_bu main"
"approval_rule_v6_payment_head office__payables_bu main","request_type_v6_payables","request_source_v6_bu main"
"approval_rule_v6_payment_head office__rentals_bu main","request_type_v6_rentals","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__salaries and wages_bu main","request_type_v6_salaries and wages","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__separation pay_bu main","request_type_v6_separation pay","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__payables_bu main","request_type_v6_payables","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__fund transfer_bu main","request_type_v6_fund transfer","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__statutory expenses_bu main","request_type_v6_statutory expenses","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__retainer's fee_bu main","request_type_v6_retainer's fee","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__managerial fee_bu main","request_type_v6_managerial fee","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__rentals ( building )_bu main","request_type_v6_rentals ( building )","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__permit and licenses/processing fee_bu main","request_type_v6_permit and licenses/processing fee","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__rentals ( equipment )_bu main","request_type_v6_rentals ( equipment )","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__utility bills_bu main","request_type_v6_utility bills","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__gratuity expenses_bu main","request_type_v6_gratuity expenses","request_source_v6_bu main"
"approval_rule_v6_payment_hlrdc head office__agent's commissions_bu main","request_type_v6_agent's commissions","request_source_v6_bu main"
"approval_rule_v6_payment_insurance services__management fee_insurance services","request_type_v6_management fee","request_source_v6_insurance services"
"approval_rule_v6_payment_insurance services__salaries and wages_insurance services","request_type_v6_salaries and wages","request_source_v6_insurance services"
"approval_rule_v6_payment_insurance services__opex_insurance services","request_type_v6_opex","request_source_v6_insurance services"
"approval_rule_v6_payment_insurance services__refund_insurance services","request_type_v6_refund","request_source_v6_insurance services"
"approval_rule_v6_payment_insurance services__fund transfer_insurance services","request_type_v6_fund transfer","request_source_v6_insurance services"
"approval_rule_v6_payment_insurance services__insurance claim_insurance services","request_type_v6_insurance claim","request_source_v6_insurance services"
"approval_rule_v6_payment_pumgas head office__utility bills_revolving fund","request_type_v6_utility bills","request_source_v6_revolving fund"
"approval_rule_v6_payment_pumgas head office__payables_mother account","request_type_v6_payables","request_source_v6_mother account"
"approval_rule_v6_payment_pumgas head office__retainer's fee_revolving fund","request_type_v6_retainer's fee","request_source_v6_revolving fund"
"approval_rule_v6_payment_pumgas head office__revolving fund replenishment_mother account","request_type_v6_revolving fund replenishment","request_source_v6_mother account"
"approval_rule_v6_payment_tig_mis_payables_bu main","request_type_v6_payables","request_source_v6_bu main"
"approval_rule_v6_payment_tig__rentals_tig","request_type_v6_rentals","request_source_v6_tig"
"approval_rule_v6_payment_tig_mis_salaries and wages_bu main","request_type_v6_salaries and wages","request_source_v6_bu main"
"approval_rule_v6_payment_tig_mis_rentals_tig","request_type_v6_rentals","request_source_v6_tig"
"approval_rule_v6_payment_tig_mis_dividend_tig","request_type_v6_dividend","request_source_v6_tig"
"approval_rule_v6_payment_tig_mis_salaries and wages_tig","request_type_v6_salaries and wages","request_source_v6_tig"
