"id","hr_job_id:id","priority","amount","approval_rule_id:id"
"approval_chain_501","muti_hrms_data.1135",2,0,"approval_rule_v6_cash_branch__advances for operations_bu main"
"approval_chain_502","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_branch__advances for operations_bu main"
"approval_chain_503","muti_hrms_data.6208",4,5000,"approval_rule_v6_cash_branch__advances for operations_bu main"
"approval_chain_504","muti_hrms_data.1136",5,10000,"approval_rule_v6_cash_branch__advances for operations_bu main"
"approval_chain_506","muti_hrms_data.1135",2,0,"approval_rule_v6_cash_branch__advances for operations_revolving fund"
"approval_chain_508","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_advances for operations_tig"
"approval_chain_509","hr_job_group manager",3,0,"approval_rule_v6_cash_tig_mis_advances for operations_tig"
"approval_chain_510","muti_hrms_data.11033",4,0,"approval_rule_v6_cash_tig_mis_advances for operations_tig"
"approval_chain_512","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_marketing expenses_tig"
"approval_chain_513","hr_job_group manager",3,0,"approval_rule_v6_cash_tig_mis_marketing expenses_tig"
"approval_chain_514","muti_hrms_data.11033",4,0,"approval_rule_v6_cash_tig_mis_marketing expenses_tig"
"approval_chain_516","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_petty cash fund replenishment_tig"
"approval_chain_517","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_tig_mis_petty cash fund replenishment_tig"
"approval_chain_519","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_travel expenses (thru check)_tig"
"approval_chain_520","hr_job_group manager",3,0,"approval_rule_v6_cash_tig_mis_travel expenses (thru check)_tig"
"approval_chain_521","muti_hrms_data.11033",4,0,"approval_rule_v6_cash_tig_mis_travel expenses (thru check)_tig"
"approval_chain_523","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_travel expenses (thru petty cash fund)_petty cash fund"
"approval_chain_524","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_tig_mis_travel expenses (thru petty cash fund)_petty cash fund"
"approval_chain_526","muti_hrms_data.11033",2,0,"approval_rule_v6_cash_tig_mis_management meals_tig"
"approval_chain_528","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_travel expenses_bu main"
"approval_chain_529","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_tig_mis_travel expenses_bu main"
"approval_chain_530","muti_hrms_data.6208",4,0,"approval_rule_v6_cash_tig_mis_travel expenses_bu main"
"approval_chain_532","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_supplies_petty cash fund"
"approval_chain_533","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_tig_mis_supplies_petty cash fund"
"approval_chain_535","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_freight and handling_bu main"
"approval_chain_536","muti_hrms_data.6208",3,0,"approval_rule_v6_cash_tig_mis_freight and handling_bu main"
