company_id:id,id,name
muti_base.res_company_branch_mutihomeoffice,hr_department_01000013id,DRIVERS & DELIVERY
muti_base.res_company_branch_mutihomeoffice,hr_department_01000015id,EPFC COUNTER
muti_base.res_company_branch_mutihomeoffice,hr_department_01000090id,"ESPERANZA,SULTAN KUDARAT"
muti_base.res_company_bu000001id,hr_department_01000086id,FGMG MOTOR PARTS
muti_base.res_company_branch_mutihomeoffice,hr_department_01000016id,FINANCE
muti_base.res_company_bu000001id,hr_department_01000003id,GENSAN
muti_base.res_company_branch_mutihomeoffice,hr_department_01000058id,GENSAN CITY PROPER
muti_base.res_company_branch_mutihomeoffice,hr_department_01000038id,GENSAN WAREHOUSE
muti_base.res_company_bu000001id,hr_department_01000085id,GLAN UNICORN HARDWARE
muti_base.res_company_bu000001id,hr_department_01000104id,GREATWALL
muti_base.res_company_branch_mutihomeoffice,hr_department_01000114id,HELPER
muti_base.res_company_bu000001id,hr_department_01000039id,HSI MAIN
muti_base.res_company_bu000001id,hr_department_01000053id,HSOC SUR
muti_base.res_company_branch_mutihomeoffice,hr_department_01000017id,HUMAN RESOURCES
muti_base.res_company_bu000001id,hr_department_01000068id,ILIGAN
muti_base.res_company_bu000001id,hr_department_01000082id,IPIL
muti_base.res_company_bu000001id,hr_department_01000005id,ISULAN
muti_base.res_company_bu000001id,hr_department_01000079id,KABACAN
muti_base.res_company_bu000001id,hr_department_01000044id,KIDAPAWAN
muti_base.res_company_bu000001id,hr_department_01000043id,KIDAPAWAN CITY PROPER
muti_base.res_company_branch_mutihomeoffice,hr_department_01000018id,KITCHEN
muti_base.res_company_bu000001id,hr_department_01000029id,KORONADAL
muti_base.res_company_bu000001id,hr_department_01000032id,KORONADAL II
muti_base.res_company_bu000001id,hr_department_01000100id,LAKE SEBU
muti_base.res_company_bu000001id,hr_department_01000073id,LAPASAN (CDO)
muti_base.res_company_branch_mutihomeoffice,hr_department_01000042id,LEGAL
muti_base.res_company_branch_mutihomeoffice,hr_department_01000019id,LOGISTICS
muti_base.res_company_branch_mutihomeoffice,hr_department_01000028id,LOGISTICS- CONSTRUCTION WORKERS
muti_base.res_company_bu000001id,hr_department_01000060id,M'LANG
muti_base.res_company_branch_mutihomeoffice,hr_department_01000008id,MACHINE SHOP
muti_base.res_company_bu000001id,hr_department_01000071id,MALAYBALAY
muti_base.res_company_branch_mutihomeoffice,hr_department_01000031id,MANAGEMENT TEAM
muti_base.res_company_branch_mutihomeoffice,hr_department_01000027id,MANAGEMENTS' OFFICE
muti_base.res_company_bu000001id,hr_department_01000076id,MARAMAG
muti_base.res_company_bu000001id,hr_department_01000040id,MARBEL
muti_base.res_company_branch_mutihomeoffice,hr_department_01000056id,MARBEL-MC
muti_base.res_company_branch_mutihomeoffice,hr_department_01000033id,MARKETING
muti_base.res_company_branch_mutihomeoffice,hr_department_01000116id,MARKETING SERVICES DEPARTMENT
muti_base.res_company_branch_mutihomeoffice,hr_department_01000089id,MATERIALS MANAGEMENT
muti_base.res_company_bu000001id,hr_department_01000048id,MATI
muti_base.res_company_branch_mutihomeoffice,hr_department_01000021id,MC BODEGA
muti_base.res_company_branch_mutihomeoffice,hr_department_01000022id,MC COUNTER
muti_base.res_company_branch_mutihomeoffice,hr_department_01000113id,MC SERVICES
muti_base.res_company_bu000001id,hr_department_01000088id,METRO MANILA
muti_base.res_company_branch_mutihomeoffice,hr_department_01000026id,MIS
muti_base.res_company_bu000001id,hr_department_01000046id,MUTI DIGOS (DON'T USE)
muti_base.res_company_bu000001id,hr_department_01000051id,MUTI POL (DON'T USE)
muti_base.res_company_bu000001id,hr_department_01000101id,MUTI SURALLAH
muti_base.res_company_bu000001id,hr_department_01000050id,MUTI-MATI (DON'T USE)
muti_base.res_company_bu000001id,hr_department_01000074id,NABUNTURAN
muti_base.res_company_branch_mutihomeoffice,hr_department_01000093id,NORALA PROPER
muti_base.res_company_branch_mutihomeoffice,hr_department_01000041id,OFFICE OF THE PRESIDENT
muti_base.res_company_branch_mutihomeoffice,hr_department_01000025id,OPERATIONS
muti_base.res_company_branch_mutihomeoffice,hr_department_01000045id,OPERATIONS GROUP
muti_base.res_company_bu000001id,hr_department_01000077id,OZAMIZ
muti_base.res_company_branch_mutihomeoffice,hr_department_01000023id,"PACIFIC UNION INSURERS, CORP."
muti_base.res_company_bu000001id,hr_department_01000080id,PAGADIAN
muti_base.res_company_bu000001id,hr_department_01000049id,PANABO
muti_base.res_company_bu000001id,hr_department_01000099id,PARTS & SERVICES
muti_base.res_company_branch_mutihomeoffice,hr_department_01000111id,PARTS AND SERVICES - RETAIL
muti_base.res_company_branch_mutihomeoffice,hr_department_01000110id,PARTS AND SERVICES - WHOLESALE
muti_base.res_company_bu000001id,hr_department_01000004id,POLOMOLOK
muti_base.res_company_branch_mutihomeoffice,hr_department_01000118id,PROCUREMENT AND PRICING
muti_base.res_company_branch_mutihomeoffice,hr_department_01000024id,PURCHASING
muti_base.res_company_branch_mutihomeoffice,hr_department_01000030id,RECON MECHANICS
muti_base.res_company_branch_mutihomeoffice,hr_department_01000057id,REDFOX
muti_base.res_company_branch_mutihomeoffice,hr_department_01000035id,REPAIR & MAINTENANCE
