id,barcode_affix,name,parent_id/id,removal_strategy_id/id
subgroup_143,026,Crank Case Cover,group_143,
major_class_144,01,MC,product_category_sp,
make_144,01,Honda,major_class_144,
group_144,10,Engine Parts,make_144,
subgroup_144,027,Crank Pin,group_144,
major_class_145,01,MC,product_category_sp,
make_145,01,Honda,major_class_145,
group_145,10,Engine Parts,make_145,
subgroup_145,028,Crankcase,group_145,
major_class_146,01,MC,product_category_sp,
make_146,01,Honda,major_class_146,
group_146,10,Engine Parts,make_146,
subgroup_146,029,Crankshaft,group_146,
major_class_147,01,MC,product_category_sp,
make_147,01,Honda,major_class_147,
group_147,10,Engine Parts,make_147,
subgroup_147,030,Cylinder Head,group_147,
major_class_148,01,MC,product_category_sp,
make_148,01,Honda,major_class_148,
group_148,10,Engine Parts,make_148,
subgroup_148,031,Cylinder head Cover,group_148,
major_class_149,01,MC,product_category_sp,
make_149,01,Honda,major_class_149,
group_149,10,Engine Parts,make_149,
subgroup_149,032,Decompression Rod,group_149,
major_class_150,01,MC,product_category_sp,
make_150,01,Honda,major_class_150,
group_150,10,Engine Parts,make_150,
subgroup_150,033,Dowel Pin,group_150,
major_class_151,01,MC,product_category_sp,
make_151,01,Honda,major_class_151,
group_151,10,Engine Parts,make_151,
subgroup_151,034,Drain Plug,group_151,
major_class_152,01,MC,product_category_sp,
make_152,01,Honda,major_class_152,
group_152,10,Engine Parts,make_152,
subgroup_152,035,"Drum, Gear Shift",group_152,
major_class_153,01,MC,product_category_sp,
make_153,01,Honda,major_class_153,
group_153,10,Engine Parts,make_153,
subgroup_153,036,Engine Protector,group_153,
major_class_154,01,MC,product_category_sp,
make_154,01,Honda,major_class_154,
group_154,10,Engine Parts,make_154,
subgroup_154,037,"Fan, Cooling Cap",group_154,
major_class_155,01,MC,product_category_sp,
make_155,01,Honda,major_class_155,
group_155,10,Engine Parts,make_155,
subgroup_155,038,"Fan, Cover Complete",group_155,
major_class_156,01,MC,product_category_sp,
make_156,01,Honda,major_class_156,
group_156,10,Engine Parts,make_156,
subgroup_156,039,"Fork, Gear Shift",group_156,
major_class_157,01,MC,product_category_sp,
make_157,01,Honda,major_class_157,
group_157,10,Engine Parts,make_157,
subgroup_157,040,Fuel Cap,group_157,
major_class_158,01,MC,product_category_sp,
make_158,01,Honda,major_class_158,
group_158,10,Engine Parts,make_158,
subgroup_158,041,Fuel Filter,group_158,
major_class_159,01,MC,product_category_sp,
make_159,01,Honda,major_class_159,
group_159,10,Engine Parts,make_159,
subgroup_159,042,Fuel Kit,group_159,
major_class_160,01,MC,product_category_sp,
make_160,01,Honda,major_class_160,
group_160,10,Engine Parts,make_160,
subgroup_160,043,Fuel Tank,group_160,
major_class_161,01,MC,product_category_sp,
make_161,01,Honda,major_class_161,
group_161,10,Engine Parts,make_161,
subgroup_161,044,"Gauge, Oil Level",group_161,
major_class_162,01,MC,product_category_sp,
make_162,01,Honda,major_class_162,
group_162,10,Engine Parts,make_162,
subgroup_162,045,Gear,group_162,
major_class_163,01,MC,product_category_sp,
make_163,01,Honda,major_class_163,
group_163,10,Engine Parts,make_163,
subgroup_163,046,"Gear, Counter Shaft",group_163,
major_class_164,01,MC,product_category_sp,
make_164,01,Honda,major_class_164,
group_164,10,Engine Parts,make_164,
subgroup_164,047,"Gear, Idle Starter",group_164,
major_class_165,01,MC,product_category_sp,
make_165,01,Honda,major_class_165,
group_165,10,Engine Parts,make_165,
subgroup_165,048,"Gear, Kick Starter Set",group_165,
major_class_166,01,MC,product_category_sp,
make_166,01,Honda,major_class_166,
group_166,10,Engine Parts,make_166,
subgroup_166,049,"Gear, Oil Pump",group_166,
major_class_167,01,MC,product_category_sp,
make_167,01,Honda,major_class_167,
group_167,10,Engine Parts,make_167,
subgroup_167,050,"Gear, Primary Drive",group_167,
major_class_168,01,MC,product_category_sp,
make_168,01,Honda,major_class_168,
group_168,10,Engine Parts,make_168,
subgroup_168,051,"Gear, Primary Starter",group_168,
major_class_169,01,MC,product_category_sp,
make_169,01,Honda,major_class_169,
group_169,10,Engine Parts,make_169,
subgroup_169,052,"Gear, Reduction",group_169,
major_class_170,01,MC,product_category_sp,
make_170,01,Honda,major_class_170,
group_170,10,Engine Parts,make_170,
subgroup_170,053,"Gear, Starter",group_170,
major_class_171,01,MC,product_category_sp,
make_171,01,Honda,major_class_171,
group_171,10,Engine Parts,make_171,
subgroup_171,054,"Gear, Third Set",group_171,
major_class_172,01,MC,product_category_sp,
make_172,01,Honda,major_class_172,
group_172,10,Engine Parts,make_172,
subgroup_172,055,Head Tensioner,group_172,
major_class_173,01,MC,product_category_sp,
make_173,01,Honda,major_class_173,
group_173,10,Engine Parts,make_173,
subgroup_173,056,Inlet Pipe,group_173,
major_class_174,01,MC,product_category_sp,
make_174,01,Honda,major_class_174,
group_174,10,Engine Parts,make_174,
subgroup_174,057,"Lock, Drum Plate",group_174,
major_class_175,01,MC,product_category_sp,
make_175,01,Honda,major_class_175,
group_175,10,Engine Parts,make_175,
subgroup_175,058,Main Shaft,group_175,
major_class_176,01,MC,product_category_sp,
make_176,01,Honda,major_class_176,
group_176,10,Engine Parts,make_176,
subgroup_176,059,Motor Starter,group_176,
major_class_177,01,MC,product_category_sp,
make_177,01,Honda,major_class_177,
group_177,10,Engine Parts,make_177,
subgroup_177,060,Oil Cap,group_177,
major_class_178,01,MC,product_category_sp,
make_178,01,Honda,major_class_178,
group_178,10,Engine Parts,make_178,
subgroup_178,061,Oil Filter,group_178,
major_class_179,01,MC,product_category_sp,
make_179,01,Honda,major_class_179,
group_179,10,Engine Parts,make_179,
subgroup_179,062,Oil Plate,group_179,
major_class_180,01,MC,product_category_sp,
make_180,01,Honda,major_class_180,
group_180,10,Engine Parts,make_180,
subgroup_180,063,Oil Pump,group_180,
major_class_181,01,MC,product_category_sp,
make_181,01,Honda,major_class_181,
group_181,10,Engine Parts,make_181,
subgroup_181,064,"Oil Pump, Cover",group_181,
major_class_182,01,MC,product_category_sp,
make_182,01,Honda,major_class_182,
group_182,10,Engine Parts,make_182,
subgroup_182,065,"Oil, Guide",group_182,
major_class_183,01,MC,product_category_sp,
make_183,01,Honda,major_class_183,
group_183,10,Engine Parts,make_183,
subgroup_183,066,Outer Clutch,group_183,
major_class_184,01,MC,product_category_sp,
make_184,01,Honda,major_class_184,
group_184,10,Engine Parts,make_184,
subgroup_184,067,Piece Oil Lock,group_184,
major_class_185,01,MC,product_category_sp,
make_185,01,Honda,major_class_185,
group_185,10,Engine Parts,make_185,
subgroup_185,068,"Piece Set, Slide",group_185,
major_class_186,01,MC,product_category_sp,
make_186,01,Honda,major_class_186,
group_186,10,Engine Parts,make_186,
subgroup_186,069,Pin,group_186,
major_class_187,01,MC,product_category_sp,
make_187,01,Honda,major_class_187,
group_187,10,Engine Parts,make_187,
subgroup_187,070,Piston Kit S1,group_187,
major_class_188,01,MC,product_category_sp,
make_188,01,Honda,major_class_188,
group_188,10,Engine Parts,make_188,
subgroup_188,071,Piston Kit S2,group_188,
major_class_189,01,MC,product_category_sp,
make_189,01,Honda,major_class_189,
group_189,10,Engine Parts,make_189,
subgroup_189,072,Piston Kit S3,group_189,
major_class_190,01,MC,product_category_sp,
make_190,01,Honda,major_class_190,
group_190,10,Engine Parts,make_190,
subgroup_190,073,Piston Kit S4,group_190,
major_class_191,01,MC,product_category_sp,
make_191,01,Honda,major_class_191,
group_191,10,Engine Parts,make_191,
subgroup_191,074,Piston Kit STD,group_191,
major_class_192,01,MC,product_category_sp,
make_192,01,Honda,major_class_192,
group_192,10,Engine Parts,make_192,
subgroup_192,075,Piston Pin,group_192,
major_class_193,01,MC,product_category_sp,
make_193,01,Honda,major_class_193,
group_193,10,Engine Parts,make_193,
subgroup_193,076,Piston Ring S1,group_193,
major_class_194,01,MC,product_category_sp,
make_194,01,Honda,major_class_194,
group_194,10,Engine Parts,make_194,
subgroup_194,077,Piston Ring S2,group_194,
major_class_195,01,MC,product_category_sp,
make_195,01,Honda,major_class_195,
group_195,10,Engine Parts,make_195,
subgroup_195,078,Piston Ring S3,group_195,
major_class_196,01,MC,product_category_sp,
make_196,01,Honda,major_class_196,
group_196,10,Engine Parts,make_196,
subgroup_196,079,Piston Ring S4,group_196,
major_class_197,01,MC,product_category_sp,
make_197,01,Honda,major_class_197,
group_197,10,Engine Parts,make_197,
subgroup_197,080,Piston Ring STD,group_197,
major_class_198,01,MC,product_category_sp,
make_198,01,Honda,major_class_198,
group_198,10,Engine Parts,make_198,
subgroup_198,081,Piston S1,group_198,
major_class_199,01,MC,product_category_sp,
make_199,01,Honda,major_class_199,
group_199,10,Engine Parts,make_199,
subgroup_199,082,Piston S2,group_199,
major_class_200,01,MC,product_category_sp,
make_200,01,Honda,major_class_200,
group_200,10,Engine Parts,make_200,
subgroup_200,083,Piston S3,group_200,
major_class_201,01,MC,product_category_sp,
make_201,01,Honda,major_class_201,
group_201,10,Engine Parts,make_201,
subgroup_201,084,Piston S4,group_201,
major_class_202,01,MC,product_category_sp,
make_202,01,Honda,major_class_202,
group_202,10,Engine Parts,make_202,
subgroup_202,085,Piston STD,group_202,
major_class_203,01,MC,product_category_sp,
make_203,01,Honda,major_class_203,
group_203,10,Engine Parts,make_203,
subgroup_203,086,Plate,group_203,
major_class_204,01,MC,product_category_sp,
make_204,01,Honda,major_class_204,
group_204,10,Engine Parts,make_204,
subgroup_204,087,Pressure Plate,group_204,
major_class_205,01,MC,product_category_sp,
make_205,01,Honda,major_class_205,
group_205,10,Engine Parts,make_205,
subgroup_205,088,Push Plug Holder,group_205,
major_class_206,01,MC,product_category_sp,
make_206,01,Honda,major_class_206,
group_206,10,Engine Parts,make_206,
subgroup_206,089,Push Rod,group_206,
major_class_207,01,MC,product_category_sp,
make_207,01,Honda,major_class_207,
group_207,10,Engine Parts,make_207,
subgroup_207,090,Retainer,group_207,
major_class_208,01,MC,product_category_sp,
make_208,01,Honda,major_class_208,
group_208,10,Engine Parts,make_208,
subgroup_208,091,Ring Set,group_208,
major_class_209,01,MC,product_category_sp,
make_209,01,Honda,major_class_209,
group_209,10,Engine Parts,make_209,
subgroup_209,092,Rocker Arm,group_209,
major_class_210,01,MC,product_category_sp,
make_210,01,Honda,major_class_210,
group_210,10,Engine Parts,make_210,
subgroup_210,093,Roller,group_210,
major_class_211,01,MC,product_category_sp,
make_211,01,Honda,major_class_211,
group_211,10,Engine Parts,make_211,
subgroup_211,094,Rotor,group_211,
major_class_212,01,MC,product_category_sp,
make_212,01,Honda,major_class_212,
group_212,10,Engine Parts,make_212,
subgroup_212,095,Screen,group_212,
major_class_213,01,MC,product_category_sp,
make_213,01,Honda,major_class_213,
group_213,10,Engine Parts,make_213,
subgroup_213,096,Set Ring,group_213,
major_class_214,01,MC,product_category_sp,
make_214,01,Honda,major_class_214,
group_214,10,Engine Parts,make_214,
subgroup_214,097,Shaft,group_214,
major_class_215,01,MC,product_category_sp,
make_215,01,Honda,major_class_215,
group_215,10,Engine Parts,make_215,
subgroup_215,098,Shroud,group_215,
major_class_216,01,MC,product_category_sp,
make_216,01,Honda,major_class_216,
group_216,10,Engine Parts,make_216,
subgroup_216,099,Spindle Gear Shift,group_216,
major_class_217,01,MC,product_category_sp,
make_217,01,Honda,major_class_217,
group_217,10,Engine Parts,make_217,
subgroup_217,100,Stopper,group_217,
major_class_218,01,MC,product_category_sp,
make_218,01,Honda,major_class_218,
group_218,10,Engine Parts,make_218,
subgroup_218,101,Tensioner,group_218,
major_class_219,01,MC,product_category_sp,
make_219,01,Honda,major_class_219,
group_219,10,Engine Parts,make_219,
subgroup_219,102,Valve Guide,group_219,
major_class_220,01,MC,product_category_sp,
make_220,01,Honda,major_class_220,
group_220,10,Engine Parts,make_220,
subgroup_220,103,"Valve, Exhaust",group_220,
major_class_221,01,MC,product_category_sp,
make_221,01,Honda,major_class_221,
group_221,10,Engine Parts,make_221,
subgroup_221,104,"Valve, Intake",group_221,
major_class_222,01,MC,product_category_sp,
make_222,01,Honda,major_class_222,
group_222,10,Engine Parts,make_222,
subgroup_222,105,"Valve, Rocker Arm",group_222,
major_class_223,01,MC,product_category_sp,
make_223,01,Honda,major_class_223,
group_223,10,Engine Parts,make_223,
subgroup_223,106,"Valve, Seal",group_223,
